2025-02-12 20:08:25.793777;INSERT--CSV; == Alunno Mario Rossi (mat: MROS001) creato correttamente ==;
2025-02-12 20:08:25.808891;INSERT--SQL;INSERT INTO alunno (nome, cognome, matricola, email) VALUES ('Mario','Rossi', 'MROS001', 'mariorossi@mail.com') ;
2025-02-12 20:08:25.808891;INSERT---DB; == [22]: Inserito su DB ./data/Classroom.db !;
2025-02-12 20:08:54.670533;SELECT---DB;Richiesta lista alunni da file CSV;
2025-02-19 20:05:55.908180;SELECT---DB;Richiesta lista alunni da file CSV;
2025-02-19 20:06:16.702505;INSERT--CSV; == Alunno Mattia Lizzi (mat: MATLIZ) creato correttamente ==;
2025-02-19 20:06:16.702505;INSERT--SQL;INSERT INTO alunno (nome, cognome, matricola, email) VALUES ('Mattia','Lizzi', 'MATLIZ', 'aaa@bbb.com') ;
2025-02-19 20:06:16.734083;INSERT---DB; == [23]: Inserito su DB ./data/Classroom.db !;
2025-02-19 20:06:26.271093;SELECT---DB;Richiesta lista alunni da file CSV;
2025-02-19 20:06:37.923406;SELECT---DB;Richiesta lista alunni da file CSV;
2025-03-02 16:47:39.607615;SELECT---DB;Richiesta lista alunni da file CSV;
2025-03-02 16:49:26.861274;INSERT--CSV; == Alunno Valentino Rossi (mat: VROS00) creato correttamente ==;
2025-03-02 16:49:26.876729;INSERT--SQL;INSERT INTO alunno (nome, cognome, matricola, email) VALUES ('Valentino','Rossi', 'VROS00', 'vrossi@gmail.com') ;
2025-03-02 16:49:26.892514;INSERT---DB; == [24]: Inserito su DB ./data/Classroom.db !;
2025-03-02 16:50:39.627396;SELECT---DB;Richiesta lista alunni da file CSV;
2025-03-02 16:54:01.108826;INSERT--CSV; == Alunno Marco Tardelli (mat: MTARD) creato correttamente ==;
2025-03-02 16:54:01.108826;INSERT--SQL;INSERT INTO alunno (nome, cognome, matricola, email) VALUES ('Marco','Tardelli', 'MTARD', '') ;
2025-03-02 16:54:01.129956;INSERT---DB; == [25]: Inserito su DB ./data/Classroom.db !;
2025-03-02 16:54:25.372441;INSERT--CSV; == Alunno Luca Benni (mat: LEN) creato correttamente ==;
2025-03-02 16:54:25.372441;INSERT--SQL;INSERT INTO alunno (nome, cognome, matricola, email) VALUES ('Luca','Benni', 'LEN', '') ;
2025-03-02 16:54:25.393622;INSERT---DB; == [26]: Inserito su DB ./data/Classroom.db !;
2025-03-02 16:54:47.791868;SELECT---DB;Richiesta lista alunni da file CSV;
